total_cost,emissions_kg,physical_vehicles,late_cost,seed,order_rule,vehicle_reuse_weight,departure_step_minutes
44861.52065,6823.295043,37,4916.794066,202601,green_late_hybrid,60.0,2.0
45656.999006,6602.905733,35,7287.927189,202603,green_first,99.0,5.0
47367.734903,6454.284687,39,7901.359446,202603,time_window_first,80.0,5.0
47811.344797,6390.143695,39,8572.884148,202603,time_window_first,90.0,10.0
48059.673235,6389.021111,39,8825.296354,202601,time_window_first,94.0,10.0
48142.9387,6356.496887,36,10224.975933,202602,time_window_first,110.0,10.0
48797.596515,6322.97088,36,10998.924032,202602,time_window_first,125.0,10.0
