severity,event_count,trigger_clock,dynamic_total_cost,delta_cost,delta_cost_base,cost_change_ratio,cost_change_ratio_base,response_time_s,lead_time_minutes,changed_customer_count,assignment_change_ratio,arc_change_ratio,future_trip_count,policy_violation_count,schedule_violation_count,unfinished_customer_count,return_before_24h,passed
low,4,10:00,44876.42744517911,14.906794889473531,14.906794889473531,0.0003322846544965989,0.0003322846544965989,0.01601329998811707,4.0,1,0.015873015873015872,0.010101010101010055,83,0,0,0,True,True
medium,4,10:00,44908.94983834988,47.42918806023954,47.42918806023954,0.0010572354073765291,0.0010572354073765291,0.015462399984244257,4.0,1,0.015873015873015872,0.010101010101010055,83,0,0,0,True,True
high,4,10:00,44956.09535335607,94.5747030664279,94.5747030664279,0.002108147510283232,0.002108147510283232,0.015786800009664148,4.0,1,0.015873015873015872,0.010101010101010055,83,0,0,0,True,True
